Team 1,Team 2,Division,Date,Time,Venue,Winner,Score 1,Score 2
EB (3),West Side,HS-NJ,2026-06-06,2:00 PM,EB,,,
EB (1),Philadelphia,HS-NJ,2026-06-06,5:00 PM,EB,,,
Makkar,Bayonne 1 (SASA),HS-NJ,2026-06-06,12:00 PM,SGG,,,
Bayonne 2 (VMSJ) (2),Upstate,HS-NJ,2026-06-06,3:00 PM,SGG,,,
SI3,Brooklyn,Girls,2026-06-06,1:00 PM,BK,,,
EB (1),Holmdel,Girls,2026-06-06,1:00 PM,EB,,,
Queens,Bayonne 1 (SASA),Girls,2026-06-06,1:00 PM,BK,,,
EB (1),Holmdel,JHS,2026-06-06,12:00 PM,EB,,,
West Side,SI2,JHS,2026-06-06,2:00 PM,SJN,,,
Queens,Long Island (1),HS-NY,2026-06-06,12:00 PM,LI,,,
Astoria,Long Island (2),HS-NY,2026-06-06,1:00 PM,LI,,,
SI2 (1),Brooklyn (1),HS-NY,2026-06-06,5:00 PM,BK,,,
SI2 (2),Brooklyn (2),HS-NY,2026-06-06,6:00 PM,BK,,,
Summit,EB,Mens,2026-06-06,4:00 PM,SGG,,,
Bayonne 1 (SASA),Long Island,Mens,2026-06-06,12:00 PM,BK,,,
Queens,SI2,Mens,2026-06-06,4:00 PM,BK,,,
Holmdel,EB (3),HS-NJ,2026-06-07,7:00 PM,EB,,,
Bayonne 2 (VMSJ) (1),Bayonne 2 (VMSJ) (2),HS-NJ,2026-06-07,4:00 PM,SGG,,,
Upstate,Makkar,HS-NJ,2026-06-07,7:00 PM,SGG,,,
Bayonne 1 (SASA),West Side,HS-NJ,2026-06-07,6:00 PM,SGG,,,
Bayonne 1 (SASA),Makkar,Girls,2026-06-07,5:00 PM,SGG,,,
EB (2),Holmdel,Girls,2026-06-07,2:00 PM,EB,,,
EB (1),Upstate,Girls,2026-06-07,3:00 PM,EB,,,
Astoria,SI3,Girls,2026-06-07,6:00 PM,HC,,,
SI2,Queens,Girls,2026-06-07,4:00 PM,HC,,,
Makkar,West Side,JHS,2026-06-07,3:00 PM,SGG,,,
Holmdel,Bayonne 1 (SASA),JHS,2026-06-07,4:00 PM,EB,,,
Summit,Queens,Mens,2026-06-07,7:00 PM,HC,,,
SI2,Long Island,Mens,2026-06-07,3:00 PM,LI,,,
Holmdel,Bayonne 1 (SASA),Mens,2026-06-07,8:00 PM,SGG,,,
SI1,EB,Mens,2026-06-07,8:00 PM,EB,,,
Queens,Brooklyn (1),HS-NY,2026-06-07,3:00 PM,HC,,,
SI2 (1),Long Island (1),HS-NY,2026-06-07,4:00 PM,LI,,,
SI2 (2),Long Island (2),HS-NY,2026-06-07,5:00 PM,LI,,,
Astoria,Brooklyn (2),HS-NY,2026-06-07,5:00 PM,HC,,,
SI2,Long Island,College,2026-06-07,6:00 PM,LI,,,
EB (3),Philadelphia,College,2026-06-07,5:00 PM,EB,,,
Holmdel,Bayonne 2 (VMSJ),College,2026-06-07,6:00 PM,EB,,,
EB (1),Makkar,JHS,2026-06-13,10:00 AM,EB,,,
Bayonne 2 (VMSJ),EB (2),JHS,2026-06-13,9:00 AM,EB,,,
SI1,Brooklyn,JHS,2026-06-13,1:00 PM,BK,,,
Holmdel,West Side,JHS,2026-06-13,11:00 AM,SGG,,,
,,,2026-06-13,,,,,
Belleville,Makkar,Girls,2026-06-13,12:00 PM,SGG,,,
SI2,Brooklyn,Girls,2026-06-13,3:00 PM,BK,,,
SI1,Queens,Girls,2026-06-13,6:00 PM,BK,,,
SI3,EB (2),Girls,2026-06-13,12:00 PM,EB,,,
SI1 (2),Long Island (2),HS-NY,2026-06-13,2:00 PM,LI,,,
SI1 (1),Long Island (1),HS-NY,2026-06-13,3:00 PM,LI,,,
SI2 (1),Brooklyn (2),HS-NY,2026-06-13,4:00 PM,BK,,,
SI2 (2),Queens,HS-NY,2026-06-13,5:00 PM,BK,,,
West Side,EB (2),HS-NJ,2026-06-13,2:00 PM,EB,,,
Piscataway,Makkar,HS-NJ,2026-06-13,1:00 PM,SGG,,,
EB (3),Bayonne 2 (VMSJ) (2),HS-NJ,2026-06-13,11:00 AM,EB,,,
Holmdel,EB (1),HS-NJ,2026-06-13,1:00 PM,EB,,,
Holmdel,Summit,Mens,2026-06-13,2:00 PM,SGG,,,
EB,Bayonne 1 (SASA),Mens,2026-06-13,3:00 PM,SGG,,,
Long Island,Hatfield,Mens,2026-06-13,12:00 PM,BK,,,
